,Agt,Con,PPName,Reg
0,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
1,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami ,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
2,Agreement between the two campaign teams regarding the structure of the national unity government,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
3,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
4,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
5,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
6,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
7,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
8,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
9,Statement of the International Conference on Afghanistan (Hague Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
10,Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
11,Declaration of the International Conference in Support of Afghanistan (Paris Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
12,Rome Conference on Justice and Rule of Law in Afghanistan,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
13,Afghanistan Compact Building on Success (London Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
14,Berlin Declaration (Berlin Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
15,Kabul Declaration of Good Neighbourly Relations,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
16,Communiqué of the International Conference on Reconstruction Assistance to Afghanistan (Tokyo Conference),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
17,Agreement on Provisional Arrangements in Afghanistan Pending the Re-establishment of Permanent Government Institutions ('Bonn Agreement'),Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
18,Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan,Afghanistan,Afghanistan: 2000s Post-intervention process,Europe and Eurasia
19,Afghan Peace Accord (Islamabad Accord),Afghanistan,Afghanistan: 1990s Taliban process,Europe and Eurasia
20,Peshawar Accord,Afghanistan,Afghanistan: 1990s Taliban process,Europe and Eurasia
21,Joint Declaration adopted by Pak-Afghan Joint Peace Jirga,Afghanistan,Afghanistan: 2000s Post-intervention process,Cross-regional
21,Joint Declaration adopted by Pak-Afghan Joint Peace Jirga,Pakistan,Afghanistan: 2000s Post-intervention process,Cross-regional
22,Agreement for Bringing Peace to Afghanistan between the Islamic Emirate of Afghanistan which is not recognized by the United States as a state and is known as the Taliban and the United States of America,Afghanistan,Afghanistan: 2000s Post-intervention process,Cross-regional
22,Agreement for Bringing Peace to Afghanistan between the Islamic Emirate of Afghanistan which is not recognized by the United States as a state and is known as the Taliban and the United States of America,United States of America,Afghanistan: 2000s Post-intervention process,Cross-regional
23,"Joint Declaration between the Islamic Republic of Afghanistan and the United States of America
for Bringing Peace to Afghanistan",Afghanistan,Afghanistan: 2000s Post-intervention process,Cross-regional
23,"Joint Declaration between the Islamic Republic of Afghanistan and the United States of America
for Bringing Peace to Afghanistan",United States of America,Afghanistan: 2000s Post-intervention process,Cross-regional
24,Project de charte pour la paix et la réconciliation nationale,Algeria,Algeria: Bouteflika Process,Middle East and North Africa
25,Texts for Implementing Acts relating to the Restoration of Civil Harmony,Algeria,Algeria: Bouteflika Process,Middle East and North Africa
26,Civil Harmony Act,Algeria,Algeria: Bouteflika Process,Middle East and North Africa
